num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,PI
68,HD138493,  15:33:58.28, -41:42:27.778,2000.0,-0.0014089333333333,-0.0146,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
67,HD138137,   15:30:40.401, -16:36:34.064,2000.0,0.0015090666666666,-0.001766,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
75,HD141962,  15:53:42.92, -44:16:45.203,2000.0,0.0001653333333333,0.0043609999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
62,HD131181,14:52:19.268, -09:57:11.293,2000.0,-0.000616,-0.01123,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
80,HD142809,  15:58:26.427, -44:31:33.794,2000.0,0.0024539333333333,-0.008646,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
3,HD84487,09:45:25.301, -08:28:57.077,2000.0,-0.0004499333333333,-0.025572,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
4,HD85819,09:53:50.378, -26:35:52.210,2000.0,-0.00149,-0.03033,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
58,HD124058,    14:12:15.638, -41:15:00.447,2000.0,0.001183,-0.005403,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
6,HD89286,    10:17:13.264, -37:43:34.826,2000.0,-0.0004236666666666,-0.007445,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
57,HD123936,    14:11:36.912, -41:20:22.572,2000.0,-0.0013101333333333,-0.0120489999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
11,HD94454,  10:51:30.271, -75:52:57.953,2000.0,-0.0008396666666666,0.001935,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
29,HD100546, 11:33:25.440, -70:11:41.241,2000.0,-0.002582,-9.7e-05,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
55,PDS70,      14:08:10.154, -41:23:52.573,2000.0,-0.0019798,-0.024041,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
21,HD97023,11:09:53.394, -32:22:03.104,2000.0,0.0012161333333333,-0.029562,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
89,HD147449, 16:22:04.348, +01:01:44.556,2000.0,-0.0105448,0.050612,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
23,HD97940,11:15:42.592, -22:54:57.520,2000.0,-0.0054947333333333,0.025877,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
47,HR5014,     13:17:29.851, -00:40:33.865,2000.0,-0.0044557333333333,-0.002303,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
26,HIP55789,   11:25:49.905, -43:12:15.712,2000.0,-0.000449,0.001511,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
27,HD99934,11:29:45.348, -25:00:07.074,2000.0,-0.0004892,0.0024089999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
17,TWHya,    11:01:51.905, -34:42:17.033,2000.0,-0.0045539333333333,-0.0139,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
69,HD139137, 15:36:33.709, -00:33:41.511,2000.0,-0.0015442666666666,-0.021684,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Eisner
56,PDS70, 14:08:10.2 , -41:23:53.6 ,2000.0,-0.0019798,-0.024041,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
66,Phi02Lup, 15:23:09.4 , -36:51:30.6 ,2000.0,-0.001216,-0.02072,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
1,AlphaPyx, 08:43:35.5 , -33:11:11.0 ,2000.0,-0.0009513333333333,0.01043,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
79,HD142527, 15:56:41.9 , -42:19:23.2 ,2000.0,-0.0007282666666666,-0.026149,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
33,ZetaCrateris, 11:44:45.8 , -18:21:02.4 ,2000.0,-0.0018198666666666,-0.024644,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
32,OmiHya, 11:40:12.8 , -34:44:40.8 ,2000.0,-0.0028826666666666,-0.00161,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
61,HR5501, 14 45 30.2 , +00:43:02.2 ,2000.0,-0.002594,-0.00823,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
91,Antares, 16:29:24.5 , -26:25:55.2 ,2000.0,-0.0008073333333333,-0.0233,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
98,HD163296, 17:56:21.3 , -21:57:21.9 ,2000.0,-0.0005057333333333,-0.039458,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
102,PZTel, 18:53:05.9 , -50:10:49.9 ,2000.0,0.0010848,-0.085519,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
46,HR4963, 13:09:57.0 , -05:32:20.4 ,2000.0,-0.00235,-0.0332999999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
31,HR4468, 11:36:40.9 , -09:48:08.1 ,2000.0,-0.0039586666666666,0.0025499999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Haffert
65,HR5692,15:18:24.51,+20:34:21.95,2016.0,-0.0008662,-0.02238,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
93,HD149499,16:38:31.199,-57:28:10.70,2016.0,0.0075351333333333,0.011325,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
103,CD-567708,19:25:58.54,-56:33:36.50,2016.0,0.0014654666666666,-0.038307,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
63,HD132200,14:59:09.68,-42:06:15.11,2016.0,-0.0011746666666666,-0.02251,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
53,HIP67506,13:49:59.11,-42:33:40.80,2016.0,-0.0017322666666666,-0.018744,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
59,HD128266,14:41:55.80,-46:08:00.38,2016.0,-0.0006913333333333,-0.01028,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
