num,Name,RA,DEC,pmra,pmdec,V mag,R mag,I mag,otype,spt
219,HD96175,11:04:35.9650,-58:45:20.889,-0.0006816000000000001,0.0051849999999999995,7.624,7.131,6.672,SB*,G5
220,CD-583774,11:04:50.1377,-58:43:03.608,-0.0007404000000000001,-0.011513,7.901,7.072,6.225,Star,
221,HD96445,11:05:58.7377,-58:43:29.386,-0.0007118000000000002,0.005351,7.702,7.2,6.747,Star,G6II-III
222,CPD-583092,11:06:03.8390,-58:41:15.835,-0.0006863333333333335,0.005319,7.457,6.925,6.424,Star,G9III
223,HD96584,11:06:43.6023,-58:35:04.795,-0.0007521333333333334,-0.005483,8.24,7.397,6.636,Star,K3/4
224,HD96789,11:07:57.3479,-58:17:26.366,-0.0006808666666666668,0.005035,6.978,6.374,5.757,Star,K2II
225,z02Car,11:08:33.9978,-61:56:49.832,-0.00043200000000000004,0.0019,5.19,4.89,4.72,BlueSG*,B9.5Ia
226,xCar,11:08:35.3899,-58:58:30.135,-0.0003313333333333334,0.00167,3.83,2.86,2.27,deltaCep,G5_0-Ia
227,HD96917,11:08:42.6179,-57:03:56.913,-0.00028286666666666675,0.005855000000000001,7.21,7.04,6.89,V*,O8Ib(n)(f)
228,VERCar,11:09:41.1427,-58:50:15.813,-0.0006462,0.0025009999999999998,6.79,,5.962,deltaCep,G1Iab/b
229,yCar,11:12:36.0132,-60:19:03.454,-0.0004201333333333334,0.002021,4.62,4.07,3.71,SG*,A5Iae:
230,HD99953,11:29:15.1353,-63:33:14.179,-0.0004356666666666667,0.0008770000000000001,6.57,6.16,5.92,BlueSG*,B2Ia
231,HD100198,11:31:15.0458,-61:16:42.487,-0.00037953333333333336,0.001997,6.4,5.84,5.45,SG*,A3Ia
232,omi01Cen,11:31:46.0686,-59:26:31.418,-0.0002994,0.0016040000000000002,5.097,4.31,3.64,LPV*,G3_0-Ia
233,omi02Cen,11:31:48.7995,-59:30:56.329,-0.0004650666666666668,0.001118,5.14,4.61,4.15,SG*,A2Ia
234,18Crt,11:32:54.1287,-31:05:14.011,-0.001966666666666667,0.006543,5.11,3.77,2.76,V*,M1/2III
235,ksiHya,11:33:00.1150,-31:51:27.443,-0.013974666666666668,-0.04084,3.54,2.84,2.36,**,G7IIIb
236,HD100546,11:33:25.4408,-70:11:41.241,-0.0025820000000000005,-9.7e-05,6.3,,6.64,Be*,A0VaekB8_lB
237,lamCen,11:35:46.8780,-63:01:11.405,-0.0022575333333333335,-0.007236,3.14,3.1,3.11,Star,B9III
238,VV829Cen,11:39:22.2368,-39:23:07.601,-4.713333333333334e-05,-0.052732999999999995,7.84,,6.588,RSCVn,G8IV
239,omiHya,11:40:12.7897,-34:44:40.773,-0.002882666666666667,-0.00161,4.7,4.69,4.74,Star,B9V
240,HD101581,11:41:02.4684,-44:24:18.686,-0.04404226666666668,0.242096,7.762,7.127,6.584,PM*,K4.5Vk:
241,VV810Cen,11:43:31.1923,-62:29:21.827,-0.00039993333333333337,0.001332,5.03,4.27,3.91,LPV*,G0_0-IaFe1
242,lamMus,11:45:36.4191,-66:43:43.543,-0.006690000000000001,0.033490000000000006,3.65,3.51,3.43,PM*,A7V
243,HD102365,11:46:31.0725,-40:30:01.285,-0.10206473333333335,0.403287,4.88,4.35,3.97,PM*,G2V
244,BCen,11:51:08.6912,-45:10:24.491,-0.0048618666666666675,-0.007964,4.46,3.52,2.85,PM*,K3III
245,betHya,11:52:54.5214,-33:54:29.267,-0.003770666666666668,0.00019,4.28,4.27,4.35,RotV*alf2CVn,kB8hB8HeA0VSi
246,HD103516,11:55:00.0118,-63:16:45.050,-0.0005656666666666667,-0.0007059999999999999,5.96,5.72,5.56,V*,A2Ib
247,HD105382,12:08:05.2222,-50:39:40.575,-0.0021724666666666673,-0.011550000000000001,4.47,4.53,4.7,Be*,B5V
248,delCen,12:08:21.4976,-50:43:20.738,-0.0033293333333333335,-0.00719,2.52,2.48,2.62,Be*,B2Vne
249,rhoCen,12:11:39.1197,-52:22:06.384,-0.0025916000000000008,-0.01328,3.96,4.05,4.21,Star,B3V
250,HD106068,12:12:21.9798,-62:57:02.785,-0.00034633333333333337,-0.000324,5.98,5.64,5.39,Star,B8Ia/ab
251,VSMus,12:12:47.0199,-70:09:06.439,-0.0005426000000000001,-0.001511,8.33,7.39,5.196,deltaCep,F6Ib+B5V
252,epsMus,12:17:34.2771,-67:57:38.648,-0.015402666666666669,-0.02639,4.02,2.12,0.36,LPV*,M4III
253,FCen,12:18:59.7616,-55:08:34.729,-0.0051156000000000005,-0.015551,5.01,3.72,2.65,PM*,M1III
254,sigCen,12:28:02.3820,-50:13:50.287,-0.0021573333333333336,-0.01251,3.91,4.02,4.22,**,B2V
255,gamCru,12:31:09.9596,-57:06:47.568,0.0018820000000000004,-0.26508,1.64,-0.02,-1.44,PM*,M3.5III
256,gamMus,12:32:28.0134,-72:07:58.759,-0.003422666666666667,-0.0054,3.88,3.91,4.08,SB*,B5V+A:
257,HD109200,12:33:31.3825,-68:45:20.912,-0.03640413333333334,-0.312392,7.14,6.661,6.237,PM*,K1V
258,HD109524,12:35:33.5522,-34:52:54.903,-0.015239066666666669,-0.13380799999999998,7.844,7.229,6.713,PM*,K3.5Vk:
259,HD109573,12:36:01.0317,-39:52:10.220,-0.0037102000000000007,-0.02388,5.774,7.25,5.81,PM*,A0V
260,tauCen,12:37:42.1640,-48:32:28.699,-0.012405400000000002,-0.006757,3.86,3.81,3.77,PM*,A1IVnn
261,lCen,12:39:52.5283,-39:59:14.290,-0.002892000000000001,-0.02525,4.64,4.66,4.75,**,B8II/III
262,gamCen,12:41:31.0400,-48:57:35.537,-0.012381333333333334,0.00579,2.17,2.14,2.14,**,A1IV+A0IV
263,VRMus,12:42:05.0260,-69:24:27.197,-0.00028960000000000005,-0.002048,6.33,,5.499,deltaCep,F7Ib
264,wCen,12:42:35.4514,-48:48:47.189,-0.008256000000000003,-0.030170000000000002,4.66,3.91,3.34,PM*,K0III
265,HD110810,12:45:14.4131,-57:21:28.807,-0.013401933333333334,-0.13134,7.843,7.311,6.851,PM*,K4V
266,betCru,12:47:43.2687,-59:41:19.579,-0.0028646666666666673,-0.01618,1.25,1.38,1.64,PulsV*bCep,B1IV
267,HD111613,12:51:17.9760,-60:19:47.240,-0.00030893333333333343,-0.000939,5.72,5.32,5.03,SG*,B9.5Iab
268,eCen,12:53:06.9063,-48:56:35.926,-0.005296666666666668,-0.024729,4.33,3.35,2.6,PM*,K3/4III
269,nCen,12:53:26.2000,-40:10:43.944,0.0047226666666666675,-0.02254,4.27,4.07,3.93,PM*,A4IV
270,VSCru,12:54:21.9975,-58:25:50.215,-0.0006427333333333334,-0.003911,6.58,,5.73,deltaCep,F7Ib/II
271,mu.01Cru,12:54:35.6245,-57:10:40.522,-0.0020460000000000005,-0.01308,4.04,4.14,4.38,V*,B2IV-V
272,mu.02Cru,12:54:36.8841,-57:10:07.193,-0.0018924,-0.010447,5.2,5.0,5.06,Be*,B5Vne
273,HD112244,12:55:57.1336,-56:50:08.900,-0.00039660000000000004,-0.001077,5.32,5.21,5.21,BlueSG*,O8.5Iab(f)p
274,tetMus,13:08:07.1531,-65:18:21.679,-0.00028480000000000004,-0.001664,5.53,5.44,5.4,WR*,WC5+B0III
275,HD114613,13:12:03.1842,-37:48:10.879,-0.02549393333333334,0.046147,4.85,4.28,3.92,PM*,G3V
276,HD114853,13:13:52.2256,-45:11:08.884,-0.0073384,-0.11145300000000001,6.94,6.559,6.226,PM*,G1.5V
277,HD113283,13:15:26.4405,-87:33:38.462,-0.014819333333333334,-0.156171,7.143,6.776,6.413,PM*,G5V
278,iotCen,13:20:35.8128,-36:42:44.296,-0.022641000000000005,-0.082181,2.73,2.68,2.69,PM*,kA1.5hA3mA3Va
279,HD115842,13:20:48.3393,-55:48:02.482,-0.00024093333333333338,0.003595,6.09,5.77,5.52,Em*,B0.5Ia/ab
280,HD116084,13:22:16.2861,-52:10:58.631,-0.0002486,-0.0005819999999999999,5.91,5.75,5.65,Star,B2Ib
281,HD116434,13:24:36.0977,-51:30:16.044,-0.0022614,-0.018917000000000003,6.98,,6.87,**,A2V
282,dCen,13:31:02.6565,-39:24:26.298,-0.0010446666666666668,-0.010490000000000001,3.88,3.04,2.45,**,G8II/III
283,epsCen,13:39:53.2577,-53:27:59.008,-0.0010200000000000003,-0.011720000000000001,2.3,2.45,2.7,PulsV*bCep,B1III
284,VXXCen,13:40:18.6439,-57:36:47.440,-0.00024313333333333333,-0.001359,7.3,,6.747,deltaCep,F7/8II
285,HD119022,13:43:08.6942,-69:07:39.480,-0.0021640000000000006,-0.02129,7.644,,6.824,**,G5IV
286,HD119256,13:43:36.2761,-57:35:23.906,-0.00031193333333333345,-0.01399,7.31,6.39,5.72,Star,K1III
287,VV851Cen,13:44:00.9212,-61:21:59.173,0.001390266666666667,0.014147999999999999,7.798,,6.638,RSCVn,K0III
288,iCen,13:45:41.2439,-33:02:37.381,-0.030812133333333346,-0.146513,4.23,3.9,3.69,SB*,F2V
289,HD119796,13:47:10.8637,-62:35:22.949,-0.0003765333333333334,-0.001797,6.8,4.74,3.54,YellowSG*,G8Ia+
290,gCen,13:49:26.7217,-34:27:02.792,-0.0027786666666666667,-0.059770000000000004,4.19,2.06,0.19,LPV*,M5-III:
291,mu.Cen,13:49:36.9886,-42:28:25.429,-0.0016166666666666669,-0.01864,3.43,3.41,3.5,Be*,B2Vnpe
292,HD120780,13:52:35.8535,-50:55:18.149,-0.039351666666666674,-0.038271,7.391,6.886,6.4,PM*,K0V
293,HD120991,13:53:57.2397,-47:07:41.390,-0.0005132666666666667,-0.004225,6.1,6.24,6.34,Be*,B2Ve
294,zetCen,13:55:32.3856,-47:17:18.148,-0.0038246666666666663,-0.04455,2.55,2.69,2.89,SB*,B2.5IV
295,HD120213,13:55:38.8756,-82:39:58.287,-0.001653666666666667,-0.02358,5.94,5.94,5.94,Star,K2III:CN-1CH-2.5
296,ups01Cen,13:58:40.7486,-44:48:12.908,-0.0018340000000000003,-0.02244,3.87,4.01,4.22,V*,B2IV-V
297,ups02Cen,14:01:43.5069,-45:36:12.274,0.00032486666666666674,-0.017824000000000003,4.33,3.82,3.48,SB*,F7II/III
298,HD122879,14:06:25.1578,-59:42:57.254,-0.00014993333333333336,-0.000315,6.5,6.33,6.18,V*,B0Ia
299,tetCen,14:06:40.9475,-36:22:11.837,-0.034702000000000004,-0.51806,2.05,1.29,0.76,PM*,K0-IIIb
300,HD124314,14:15:01.6061,-61:42:24.383,-0.0002566666666666667,-0.00198,6.64,6.45,6.31,**,O6V(n)((f))
301,VRCen,14:16:34.3193,-59:54:49.294,-0.0006051333333333334,-0.006692,7.55,4.45,1.37,Mira,M4-6e
302,VDFCir,14:17:51.4433,-68:02:49.271,-0.007573533333333334,-0.108688,7.55,,6.917,RSCVn,F6V
303,vCen,14:20:19.5426,-56:23:11.389,-0.0006426666666666668,-0.0074600000000000005,4.35,4.2,4.06,Star,B5Ib/II
304,aCen,14:23:02.2390,-39:30:42.549,-0.00161,-0.0219,4.42,4.53,4.7,RotV*,B2V
305,HD125835,14:25:06.3269,-68:11:43.201,-0.0005240666666666668,-0.003916,5.62,5.18,4.78,Star,A1Iab/b
306,VVCen,14:32:33.0833,-56:53:15.774,-0.00044646666666666677,-0.007068,6.93,,5.798,deltaCep,F5Ib/II
307,etaCen,14:35:30.4241,-42:09:28.170,-0.0023153333333333333,-0.03272,2.31,2.41,2.59,Be*,B2Ve
308,CPD-566334,14:35:32.6652,-56:33:55.332,-0.0008333333333333335,-0.0047,9.88,9.66,-0.17,Star,B8V
309,ClNGC5662SC278,14:35:39.632,-56:37:16.94,,,15.98,15.27,5.99,Star,
310,ClNGC5662SC270,14:35:40.0284,-56:39:22.304,-0.00037853333333333334,-0.003026,15.78,14.58,5.79,Star,
311,ClNGC5662SC220,14:35:43.7780,-56:39:28.936,-0.00024400000000000002,-0.002732,16.9,16.33,6.91,Star,
312,VV737Cen,14:37:11.9678,-62:00:39.240,-0.00015066666666666668,-0.003732,6.77,,5.701,deltaCep,G0/1Ib
313,rhoLup,14:37:53.2258,-49:25:32.979,-0.0018840000000000003,-0.028820000000000002,4.05,4.14,4.25,V*,B3/4V
314,HD128400,14:41:52.4609,-75:08:22.124,0.008041200000000002,-0.019502,6.765,6.381,6.015,PM*,G6V
315,bCen,14:41:57.5906,-37:47:36.594,-0.001994666666666667,-0.03068,4.0,4.11,4.26,**,B3V
316,alfCir,14:42:30.4195,-64:58:30.493,-0.012835333333333336,-0.23351,3.19,2.96,2.86,RotV*alf2CVn,A7VpSrCrEu
317,HD130227,14:49:07.0558,-56:40:04.185,-0.0070912000000000015,-0.11959600000000001,6.21,5.42,4.84,PM*,K1III
318,HD130042,14:49:23.7176,-67:14:09.485,-0.007161333333333335,-0.32,7.264,6.788,6.35,**,K1V
319,VAVCir,14:50:30.2963,-67:29:51.440,-0.0002236666666666667,-0.002225,7.44,,6.358,deltaCep,F7II
320,26Cir,14:52:35.2587,-63:48:35.356,-0.0004796000000000001,-0.009419,5.96,,4.993,deltaCep,F8II
321,tetCir,14:56:43.9873,-62:46:51.657,-0.0007800000000000002,-0.011689999999999999,5.11,4.87,4.79,Be*,B2III
322,betLup,14:58:31.9253,-43:08:02.269,-0.002385333333333334,-0.03983,2.68,2.78,2.95,PM*,B2III
323,pi.Lup,15:05:07.2349,-47:03:03.828,-0.0016783333333333338,-0.017856,3.89,3.99,4.1,**,B5
324,kapLup,15:11:56.0732,-48:44:16.169,-0.006475066666666668,-0.048849,3.7,3.75,3.76,Be*,B9.5Vne
325,CD-595594,15:16:47.9421,-59:39:42.583,-0.0002844000000000001,-0.00378,9.66,,6.792,Star,
326,fLup,15:17:49.8380,-30:08:55.216,-0.0006773333333333334,-0.00366,4.33,3.52,2.96,V*,K0IIIaCH-1
327,VRTrA,15:19:45.7128,-66:29:45.743,-0.00035473333333333335,-0.008228,6.39,,5.844,deltaCep,F7Ib/II
328,phi02Lup,15:23:09.3500,-36:51:30.552,-0.0012160000000000003,-0.02072,4.54,4.6,4.74,Star,B4V
329,HD137432,15:27:18.1304,-36:46:03.214,-0.0013195333333333337,-0.023456,5.45,5.54,5.71,SB*,B5V
330,CD-409712,15:32:12.9323,-41:16:32.130,-0.0784298,-1.03097,9.311,8.265,6.947,PM*,M2.5V
331,omeLup,15:38:03.2037,-42:34:02.444,-0.00998666666666667,0.05737,4.33,3.3,2.57,PM*,K3III
332,betTrA,15:55:08.5620,-63:25:50.615,-0.012577333333333334,-0.40185000000000004,2.85,2.53,2.38,PM*,F1V
333,HD142709,15:57:40.7440,-42:37:27.243,-0.01713986666666667,-0.190798,8.055,7.382,6.828,PM*,K4V
334,VSTrA,16:01:10.7162,-63:46:35.530,-0.0001590666666666667,-0.0029089999999999997,6.41,,5.602,deltaCep,F8II
335,HD143699,16:03:24.1894,-38:36:09.152,-0.0011733333333333337,-0.0291,4.89,4.96,5.1,Star,B5/7III/IV
336,VLMLup,16:04:44.4888,-39:26:04.779,-0.0010998000000000002,-0.026313,6.94,,6.968,RotV*alf2CVn,ApSiCr
337,HD144628,16:09:42.7944,-56:26:42.541,-0.009007,0.333793,7.124,6.643,6.205,PM*,K2V
338,HD144969,16:10:49.1477,-48:47:41.747,-0.00012173333333333336,-0.001118,8.39,7.47,6.7,BlueSG*,B1Ia
339,HD145417,16:13:48.5588,-57:34:13.843,-0.056936,-1.411465,7.54,7.054,6.588,PM*,K3VFe-1.7
340,gam01Nor,16:17:00.9341,-50:04:05.233,-0.00011266666666666668,-0.0033900000000000002,5.09,4.35,3.85,Star,F9Ia
341,VSNor,16:18:51.8316,-57:53:59.256,-0.00010720000000000003,-0.0021360000000000003,6.49,,5.427,deltaCep,F8/G0Ib
342,ClNGC6087SCb-141,16:19:01.648,-57:58:24.94,,,16.84,,6.85,Star,
343,ClNGC6087SCb-134,16:19:02.68,-57:55:56.6,,,16.91,16.49,6.92,Star,
344,ClNGC6087SCb-78,16:19:10.399,-57:56:00.57,,,16.88,16.7,6.89,Star,
345,ClNGC6087SCb-47,16:19:20.9349,-57:56:09.598,-0.00028680000000000003,-0.005706,16.94,,6.95,Star,
346,ClNGC6087SCb-44,16:19:21.3341,-57:55:43.723,-1.786666666666667e-05,-0.001008,16.9,,6.91,Star,
347,ClNGC6087SCb-5,16:19:32.4981,-57:58:47.614,-0.00022906666666666674,-0.0051210000000000006,16.93,16.6,6.94,Star,
348,gam02Nor,16:19:50.4222,-50:09:19.822,-0.010647333333333335,-0.05225,4.02,3.24,2.66,PM*,K0III
349,HD148379,16:29:42.3277,-46:14:35.630,-0.0002268666666666667,-0.0041210000000000005,5.37,4.85,4.39,Be*,B2Iab
350,NSco,16:31:22.9330,-34:42:15.714,-0.0008033333333333334,-0.01816,4.23,4.29,4.41,V*,B2III-IV
351,HD148704,16:31:30.0257,-39:00:44.148,-0.02863873333333334,-0.33031099999999997,7.239,6.76,6.322,SB*,K1V
352,HD148688,16:31:41.7687,-41:49:01.732,-0.00022100000000000003,-0.002173,5.39,5.05,4.7,BlueSG*,B1Iaeqp
353,HD149076,16:34:38.5739,-47:00:15.729,-0.00010086666666666667,-0.002559,7.47,6.98,6.59,Star,B9/A0Iab/b
354,HD149612,16:39:04.1417,-58:15:29.528,-0.015114733333333335,-0.285024,7.034,6.679,6.334,PM*,G5VFe-1.2CH-0.9
355,HD150168,16:41:40.2261,-49:39:05.588,-0.00010906666666666667,-0.0025369999999999998,5.68,5.64,5.6,Star,B1Iab/Ib
356,HD150689,16:44:15.0157,-38:56:37.087,-0.0013653333333333336,-0.060189,7.514,6.929,6.431,PM*,K3V
357,HD150898,16:47:19.6583,-58:20:29.199,-0.0003719333333333334,-0.020961,5.61,5.61,5.62,Star,B0Ia/ab
358,HD151581,16:49:44.5472,-36:24:22.261,0.0017698666666666667,-0.011241,8.174,,6.949,RotV*,G7III
359,HD151515,16:49:48.2512,-42:00:06.177,-6.226666666666668e-05,-0.003062,7.3,7.11,6.88,SB*,O7II(f)
360,epsSco,16:50:09.8108,-34:17:35.633,-0.040990000000000006,-0.25598,2.29,1.43,0.83,PM*,K1III
361,HD152003,16:52:47.3744,-41:47:08.990,-9.373333333333335e-05,-0.002132,7.08,6.72,6.35,BlueSG*,O9.7IabNwk
362,HD152147,16:53:28.6179,-42:07:17.050,-5.733333333333335e-05,-0.0019790000000000003,7.34,6.97,6.6,SB*,O9.7IbNwk
363,HD152235,16:53:58.8528,-41:59:39.577,-2.9333333333333333e-05,-0.0023279999999999998,6.38,5.84,5.42,BlueSG*,B0.5Ia
364,zet01Sco,16:53:59.7271,-42:21:43.307,-6.266666666666668e-06,-0.003368,4.79,4.32,3.86,BlueSG*,B1Ia-0ek
365,HD152270,16:54:19.6991,-41:49:11.531,-4.2600000000000005e-05,-0.002177,6.597,6.72,6.39,WR*,WC7+O5-8
366,HD152405,16:54:55.3693,-40:31:29.393,-5.493333333333333e-05,-0.0012430000000000002,7.29,7.12,6.96,SB*,O9.7II
367,VV861Sco,16:56:35.9776,-40:49:24.443,-1.0800000000000002e-05,-0.001398,6.22,5.92,5.64,EB*,B2Iab/b
368,VRVSco,16:58:19.7477,-33:36:32.766,0.0001332,-0.006319,6.61,,5.909,deltaCep,G0Ib
369,HD153026,16:58:54.0507,-39:33:30.778,0.01811066666666667,0.22346000000000002,8.32,7.602,6.963,**,K4.5Vk:
370,CD-4411324,16:58:57.5619,-44:24:04.773,-0.00012286666666666668,-0.002839,9.38,7.2,5.5,Star,M0Ib
371,HD153919,17:03:56.7725,-37:50:38.913,0.00016093333333333336,0.005022,6.51,6.08,5.9,HMXB,O6Iafcp
372,kSco,17:04:49.3516,-34:07:22.541,8.480000000000001e-05,-0.002049,4.87,4.59,4.42,BlueSG*,B2Iab
373,etaSco,17:12:09.1956,-43:14:21.090,0.0016313333333333334,-0.28855000000000003,3.33,2.97,2.77,PM*,F5IV
374,HD155603,17:14:27.6550,-39:45:59.937,-5.053333333333334e-05,-0.001466,6.44,4.6,3.36,SG*,K0_0-Ia
375,HD155737,17:15:18.1833,-39:38:55.049,-4.360000000000001e-05,-0.001496,8.85,6.48,4.4,RedSG*,M1Ia
376,HD155555,17:17:25.5053,-66:57:03.732,-0.0014293333333333337,-0.13717300000000002,6.723,,6.39,RSCVn,K1Vp
377,HD156384,17:18:57.1648,-34:59:23.141,0.07531733333333333,-0.07701999999999999,5.89,4.97,4.38,**,K3V+K5V
378,41Ara,17:19:03.8375,-46:38:10.440,0.06864066666666668,0.106935,5.48,4.76,4.3,PM*,G9V
379,HD157038,17:22:39.2179,-37:48:16.699,-1.8200000000000002e-05,-0.000528,6.44,5.7,5.15,BlueSG*,B3Iap
380,VV636Sco,17:22:46.4815,-45:36:51.401,-0.0002020666666666667,-0.002382,6.74,,5.654,deltaCep,F7/8Ib/II
381,iotAra,17:23:16.0762,-47:28:05.505,-0.0004139333333333334,-0.017699000000000003,5.25,5.12,5.2,Be*,B1V
382,VV1017Sco,17:30:30.6576,-34:32:20.579,7.2666666666666685e-06,-0.010553000000000002,7.985,,6.734,RSCVn,A2V
383,VV482Sco,17:30:48.3804,-33:36:35.659,1.706666666666667e-05,-0.00284,7.91,,6.831,deltaCep,F8/G0II
384,alfAra,17:31:50.4915,-49:52:34.122,-0.0022180000000000004,-0.06722,2.95,3.05,3.29,Be*,B2Vne
385,sigAra,17:35:39.5895,-46:30:20.461,-0.0017186666666666672,-0.0383,4.59,4.6,4.65,Star,A0V
386,HD160529,17:41:59.0261,-33:30:13.704,7.000000000000001e-06,-0.000963,6.66,5.5,4.51,SG*,A2Ia
387,HD160810,17:43:25.9977,-35:17:51.585,-3.0000000000000004e-05,-0.0018700000000000001,6.96,5.2,3.92,V*,M0Ib
388,VRYSco,17:50:52.3447,-33:42:20.412,9.900000000000002e-05,-0.001388,7.51,,6.256,deltaCep,F6Ib
389,gam02Sgr,18:05:48.4880,-30:25:26.723,-0.0035946666666666675,-0.1809,2.99,2.26,1.75,PM*,K0+III
390,HD166348,18:12:21.3923,-43:26:41.452,0.008919533333333335,-0.417454,8.372,7.59,6.9,PM*,M0V
391,HD167128,18:17:07.5324,-56:01:24.057,-0.0002680666666666667,-0.013071,5.36,5.32,5.36,Be*,B2V
392,etaSgr,18:17:37.6350,-36:45:42.066,-0.008637333333333335,-0.16626,3.11,1.55,0.23,Candidate_LP*,M2III
393,epsSgr,18:24:10.3184,-34:23:04.619,-0.0026280000000000006,-0.1242,1.85,1.85,1.86,**,B9IVp_lB?
394,HD172910,18:44:19.3590,-35:38:31.154,-4.533333333333334e-05,-0.02724,4.87,5.02,5.18,PulsV*,B2V
395,HD174474,18:53:02.3467,-48:21:39.296,-0.0011452000000000003,-0.07777200000000001,6.168,,6.03,PM*,A2V
396,HD175224,18:57:30.5955,-55:59:30.802,-0.00024466666666666674,-0.44128,8.837,7.901,6.915,**,K5Ve+K7Ve
397,zetCrA,19:03:06.8769,-42:05:42.385,0.003760666666666668,-0.04643,4.725,,4.76,PM*,B9.5Vann
398,etaTel,19:22:51.2060,-54:25:26.145,0.0017216000000000002,-0.08296500000000001,5.02,,4.99,PM*,A0V+M7/8V
399,HD181327,19:22:58.9437,-54:32:16.975,0.0016268666666666668,-0.08218600000000001,7.04,,6.49,PM*,F6V
400,HD184189,19:34:46.3966,-38:05:15.934,-0.00023653333333333338,-0.00967,9.315,,6.69,EB*,M2III
401,delPav,20:08:43.6088,-66:10:55.442,0.08078406666666668,-1.1302370000000002,3.56,2.95,2.61,PM*,G8IV
402,HD191849,20:13:53.3962,-45:09:50.470,0.051888733333333346,-0.159939,7.966,7.053,6.124,PM*,M0V
403,HD194188,20:26:04.7714,-46:39:36.026,0.001609866666666667,-0.021255,6.72,,6.46,Star,A9III/IV
404,VAUMic,20:45:09.5324,-31:20:27.237,0.018754600000000007,-0.360148,8.627,9.078,6.593,low-mass*,M1VeBa1
405,VCFOct,20:49:37.2641,-80:08:01.005,0.00011800000000000001,0.014597,7.927,,6.678,RSCVn,K0IIIp
406,HD199509,21:09:20.7275,-82:01:38.108,0.017607466666666672,-0.055777,6.995,6.652,6.298,PM*,G1V
407,HD201427,21:11:22.7857,-52:20:21.286,-0.0013260000000000001,0.01881,8.6,7.71,6.299,EB*,F8V
408,VBNMic,21:14:52.7023,-31:11:01.259,-0.003600800000000001,-0.050586,7.76,,6.662,RSCVn,K1IIIp
409,HD201906,21:18:16.2480,-75:20:48.319,0.0013294000000000001,-0.036732999999999995,6.605,,6.56,Star,A1V
410,tet01Mic,21:20:45.6194,-40:48:34.620,0.0053348000000000015,0.02488,4.82,4.73,4.69,RotV*alf2CVn,ApCrEuSr
411,gamPav,21:26:26.6049,-65:21:58.313,0.005387666666666667,0.800573,4.22,3.75,3.45,PM*,F9VFe-1.4CH-0.7
412,HD203985,21:27:01.3195,-44:48:30.973,0.016851533333333335,0.188879,7.47,7.01,6.59,PM*,K2III-IV
413,HD204353,21:30:25.0011,-60:12:24.975,0.0026024000000000004,-0.03386,7.754,,6.806,PM*,G5III
414,HD204961,21:33:33.9751,-49:00:32.399,-0.0030611333333333338,-0.816875,8.672,7.665,6.479,PM*,M2/3V
415,HD205390,21:36:41.2435,-50:50:43.388,0.028235866666666675,-0.19948400000000002,7.157,6.66,6.21,PM*,K1V
416,iotPsA,21:44:56.8094,-33:01:32.818,0.0020733333333333337,-0.09456,4.34,4.35,4.38,PM*,A0V
417,gamGru,21:53:55.7261,-37:21:53.478,0.006538000000000001,-0.01322,3.01,3.06,3.12,PM*,B8IV-Vs
418,alfGru,22:08:13.9847,-46:57:39.507,0.008446,-0.14747,1.71,1.75,1.83,PM*,B6V
419,mu.PsA,22:08:23.0113,-32:59:18.491,0.004950400000000001,-0.02579,4.5,4.43,4.38,PM*,A1.5IVn
420,alfTuc,22:18:30.0947,-60:15:34.526,-0.004714666666666667,-0.039439999999999996,2.82,1.76,1.02,SB*,K3III
421,pi.01Gru,22:22:44.2083,-45:56:52.791,0.0020737333333333335,-0.010338,6.55,3.19,0.52,S*,"S5,7:"
422,HD212330,22:24:56.3686,-57:47:50.841,0.008643866666666666,-0.35242500000000004,5.31,4.79,4.4,PM*,G2IV-V
423,HD213042,22:29:15.2363,-30:01:06.263,0.014719733333333335,-0.8123020000000001,7.645,7.022,6.513,PM*,K4V
424,del01Gru,22:29:16.1748,-43:29:44.024,0.0017146666666666669,-0.00332,3.97,3.22,2.71,Star,G6/8III
425,del02Gru,22:29:45.4340,-43:44:57.196,-0.0009386666666666666,0.00257,4.11,2.38,0.79,Candidate_LP*,M4.5IIIa
426,betPsA,22:31:30.3303,-32:20:45.865,0.003941333333333334,-0.01883,4.29,4.27,4.25,PM*,A1Va
427,betGru,22:42:40.0502,-46:53:04.475,0.009010666666666669,-0.00438,2.11,0.2,-1.57,Candidate_LP*,M4.5III
428,gamTuc,23:17:25.7564,-58:14:08.524,-0.0007179333333333334,0.074585,3.98,3.57,3.33,PM*,F4V
429,betScl,23:32:58.2589,-37:49:05.757,0.006398000000000001,0.03829,4.37,4.37,4.44,PM*,B9.5IIIpHgMnSi
430,iotPhe,23:35:04.5603,-42:36:54.503,0.003138133333333334,0.008543,4.71,4.59,4.52,RotV*alf2CVn,ApSrCrEu
431,HD222095,23:37:50.9941,-45:29:32.467,0.004714,-0.012660000000000001,4.74,4.63,4.58,PM*,A1/2V
432,HD222237,23:39:37.3873,-72:43:19.755,0.009582400000000001,-0.7369070000000001,7.087,6.502,5.987,PM*,K3+V
433,HD222335,23:39:51.3061,-32:44:36.264,0.008918200000000001,-0.30468,7.191,6.745,6.34,PM*,G9.5V
434,epsTuc,23:59:54.9776,-65:34:37.680,0.003195333333333334,-0.022949999999999998,4.47,4.45,4.49,Be*,B8V
