num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#Notes,#V,#R,#I,#PI
43,HD112696,   12:58:39.975, -02:54:13.116,2000.0,0.0014292,-0.016464,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag6.20",#6.647,#--,#--,#Eisner
38,HR4689,12:19:54.342, -00:40:00.466,2000.0,-0.0036443333333333,-0.017642,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmagI=3.8",#3.9,#3.82,#3.82,#Eisner
76,HD142384,   15:55:56.447, -40:47:11.348,2000.0,-0.0006892,-0.046711,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmag7.11",#7.42,#--,#--,#Eisner
72,HD140841,  15:47:22.026, -41:01:37.559,2000.0,-0.0002833333333333,-0.01801,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag6.57",#6.86,#--,#--,#Eisner
75,HD141962,  15:53:42.92, -44:16:45.203,2000.0,0.0001653333333333,0.0043609999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag8.60",#8.83,#--,#--,#Eisner
70,HD139329,  15:38:16.286, -21:00:58.746,2000.0,0.0040141333333333,-0.061692,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag5.51",#5.816,#--,#--,#Eisner
62,HD131181,14:52:19.268, -09:57:11.293,2000.0,-0.000616,-0.01123,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmagI=8.0",#9.06,#--,#--,#Eisner
80,HD142809,  15:58:26.427, -44:31:33.794,2000.0,0.0024539333333333,-0.008646,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag6.64",#6.92,#--,#--,#Eisner
3,HD84487,09:45:25.301, -08:28:57.077,2000.0,-0.0004499333333333,-0.025572,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmagI=7.0",#7.21,#--,#--,#Eisner
4,HD85819,09:53:50.378, -26:35:52.210,2000.0,-0.00149,-0.03033,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmagI=9.0",#9.76,#--,#--,#Eisner
58,HD124058,    14:12:15.638, -41:15:00.447,2000.0,0.001183,-0.005403,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag9.84",#10.297,#--,#--,#Eisner
6,HD89286,    10:17:13.264, -37:43:34.826,2000.0,-0.0004236666666666,-0.007445,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag9.81",#10.092,#--,#--,#Eisner
57,HD123936,    14:11:36.912, -41:20:22.572,2000.0,-0.0013101333333333,-0.0120489999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag9.87",#10.295,#--,#--,#Eisner
11,HD94454,  10:51:30.271, -75:52:57.953,2000.0,-0.0008396666666666,0.001935,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag6.63",#6.69,#--,#--,#Eisner
29,HD100546, 11:33:25.440, -70:11:41.241,2000.0,-0.002582,-9.7e-05,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmag6.68",#6.3,#--,#6.64,#Eisner
55,PDS70,      14:08:10.154, -41:23:52.573,2000.0,-0.0019798,-0.024041,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmag11.6",#12.18,#11.71,#10.506,#Eisner
21,HD97023,11:09:53.394, -32:22:03.104,2000.0,0.0012161333333333,-0.029562,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmagI=5.7",#5.766,#--,#--,#Eisner
89,HD147449, 16:22:04.348, +01:01:44.556,2000.0,-0.0105448,0.050612,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag4.73",#--,#4.6,#--,#Eisner
23,HD97940,11:15:42.592, -22:54:57.520,2000.0,-0.0054947333333333,0.025877,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmagI=7.0",#7.06,#--,#--,#Eisner
47,HR5014,     13:17:29.851, -00:40:33.865,2000.0,-0.0044557333333333,-0.002303,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmag6.31",#6.351,#--,#--,#Eisner
26,HIP55789,   11:25:49.905, -43:12:15.712,2000.0,-0.000449,0.001511,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag9.65",#10.02,#--,#--,#Eisner
27,HD99934,11:29:45.348, -25:00:07.074,2000.0,-0.0004892,0.0024089999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmagI=7.0",#7.2,#--,#--,#Eisner
17,TWHya,    11:01:51.905, -34:42:17.033,2000.0,-0.0045539333333333,-0.0139,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#Sci,GaiaGmag9.18",#10.5,#10.626,#9.18,#Eisner
69,HD139137, 15:36:33.709, -00:33:41.511,2000.0,-0.0015442666666666,-0.021684,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#cal,GaiaGmag6.29",#6.504,#--,#--,#Eisner
